"id_etudiant";"id_matiere";"session";"ann_univ";"valeur_note";"date_evaluation";"commentaire"
1;1;"Normale";"2025-2026";14.5;"2026-05-30";"Bon travail sur les tris"
1;2;"Normale";"2025-2026";12.75;"2026-05-30";"Maîtrise partielle de l'héritage"
1;3;"Normale";"2025-2026";16.0;"2026-05-30";"Excellentes requêtes SQL"
1;5;"Normale";"2025-2026";11.25;"2026-05-30";"Gestion mémoire à retravailler"
2;1;"Normale";"2025-2026";9.5;"2026-05-30";"Difficultés sur la récursivité"
2;1;"Rattrapage";"2025-2026";12.0;"2026-05-30";"Progrès notables"
2;13;"Normale";"2025-2026";15.25;"2026-05-30";"Bonne maîtrise de Hadoop"
3;11;"Normale";"2025-2026";17.5;"2026-05-30";"Excellent sur les réseaux de neurones"
3;12;"Normale";"2025-2026";18.0;"2026-05-30";"Très bonne implémentation scikit-learn"
4;4;"Normale";"2025-2026";13.0;"2026-05-30";"Protocoles bien compris"
4;10;"Normale";"2025-2026";16.75;"2026-05-30";"Bonne analyse des vulnérabilités"
5;1;"Normale";"2025-2026";15.5;"2026-05-30";"Bon algorithme de tri rapide"
5;6;"Normale";"2025-2026";14.0;"2026-05-30";"CSS maîtrisé, JS à améliorer"
6;16;"Normale";"2025-2026";13.5;"2026-05-30";"Série de Taylor correcte"
6;17;"Normale";"2025-2026";11.0;"2026-05-30";"Déterminants à revoir"
7;18;"Normale";"2025-2026";17.0;"2026-05-30";"Excellent calcul de probabilités"
7;22;"Normale";"2025-2026";16.5;"2026-05-30";"Tests d'hypothèses bien maîtrisés"
8;25;"Normale";"2025-2026";10.0;"2026-05-30";"Lois de Newton partiellement acquises"
8;25;"Rattrapage";"2025-2026";12.5;"2026-05-30";"Amélioration constatée"
8;26;"Normale";"2025-2026";14.25;"2026-05-30";"Loi de Gauss maîtrisée"
9;27;"Normale";"2025-2026";15.75;"2026-05-30";"Premier principe bien appliqué"
9;28;"Normale";"2025-2026";13.0;"2026-05-30";"Interférences comprises"
14;40;"Normale";"2025-2026";14.0;"2026-05-30";"Fonctions du management bien acquises"
14;43;"Normale";"2025-2026";12.5;"2026-05-30";"Recrutement et formation analysés"
15;41;"Normale";"2025-2026";16.0;"2026-05-30";"Bilan comptable sans erreur"
15;44;"Normale";"2025-2026";15.0;"2026-05-30";"Calcul VAN maîtrisé"
16;47;"Normale";"2025-2026";9.5;"2026-05-30";"Courbes offre/demande à revoir"
16;47;"Rattrapage";"2025-2026";11.5;"2026-05-30";"Légère amélioration"
17;50;"Normale";"2025-2026";13.75;"2026-05-30";"MCO bien appliqué"
18;51;"Normale";"2025-2026";15.25;"2026-05-30";"Bonne maîtrise des sources du droit"
18;52;"Normale";"2025-2026";14.0;"2026-05-30";"Obligations contractuelles bien traitées"
19;53;"Normale";"2025-2026";17.0;"2026-05-30";"Constitution analysée avec précision"
19;54;"Normale";"2025-2026";16.5;"2026-05-30";"Recours administratifs bien expliqués"
20;56;"Normale";"2025-2026";11.0;"2026-05-30";"Moments fléchissants à retravailler"
20;56;"Rattrapage";"2025-2026";13.0;"2026-05-30";"Bonne reprise"
20;57;"Normale";"2025-2026";12.75;"2026-05-30";"Équation de Bernoulli bien utilisée"
21;60;"Normale";"2025-2026";14.5;"2026-05-30";"Transformée de Fourier maîtrisée"
21;63;"Normale";"2025-2026";13.0;"2026-05-30";"Couche transport bien comprise"
22;11;"Normale";"2025-2026";16.25;"2026-05-30";"Excellent projet de reconnaissance d'images"
23;18;"Normale";"2025-2026";15.0;"2026-05-30";"Loi normale bien manipulée"
24;1;"Normale";"2025-2026";19.0;"2026-05-30";"Algorithme de Dijkstra parfait"
24;3;"Normale";"2025-2026";18.5;"2026-05-30";"Modélisation conceptuelle impeccable"
25;25;"Normale";"2025-2026";8.0;"2026-05-30";"Cinématique à retravailler"
25;25;"Rattrapage";"2025-2026";10.5;"2026-05-30";"Effort remarqué"
26;13;"Normale";"2025-2026";16.0;"2026-05-30";"Spark bien maîtrisé"
