"id_fait_note";"id_etudiant_dim";"id_filiere_dim";"id_niveau_dim";"id_enseignant_dim";"id_matiere_dim";"id_session_dim";"ID_DATE";"note_obtenue";"note_pourcentage";"coefficient_applique";"note_ponderee";"commentaire";"date_chargement"
1;1;2;1;49;1;1;20260530;14.5;72.5;3.0;43.5;"Bon travail sur les tris";"2026-06-03 11:55:34"
2;1;1;2;101;2;1;20260530;12.75;63.75;3.0;38.25;"Maîtrise partielle de l'héritage";"2026-06-03 11:55:34"
3;1;1;1;19;3;1;20260530;16.0;80.0;2.5;40.0;"Excellentes requêtes SQL";"2026-06-03 11:55:34"
4;1;1;2;67;5;1;20260530;11.25;56.25;2.5;28.13;"Gestion mémoire à retravailler";"2026-06-03 11:55:34"
5;2;2;1;49;1;1;20260530;9.5;47.5;3.0;28.5;"Difficultés sur la récursivité";"2026-06-03 11:55:34"
6;2;2;1;49;1;2;20260530;12.0;60.0;3.0;36.0;"Progrès notables";"2026-06-03 11:55:34"
7;2;2;1;60;13;1;20260530;15.25;76.25;2.5;38.13;"Bonne maîtrise de Hadoop";"2026-06-03 11:55:34"
8;3;3;4;29;11;1;20260530;17.5;87.5;3.0;52.5;"Excellent sur les réseaux de neurones";"2026-06-03 11:55:34"
9;3;3;1;70;12;1;20260530;18.0;90.0;3.0;54.0;"Très bonne implémentation scikit-learn";"2026-06-03 11:55:34"
10;4;4;2;104;4;1;20260530;13.0;65.0;2.0;26.0;"Protocoles bien compris";"2026-06-03 11:55:34"
11;4;4;4;85;10;1;20260530;16.75;83.75;2.5;41.88;"Bonne analyse des vulnérabilités";"2026-06-03 11:55:34"
12;5;2;1;49;1;1;20260530;15.5;77.5;3.0;46.5;"Bon algorithme de tri rapide";"2026-06-03 11:55:34"
13;5;1;1;4;6;1;20260530;14.0;70.0;2.0;28.0;"CSS maîtrisé, JS à améliorer";"2026-06-03 11:55:34"
14;6;5;1;2;16;1;20260530;13.5;67.5;3.0;40.5;"Série de Taylor correcte";"2026-06-03 11:55:34"
